Reference, Quantity, Value, Footprint, Datasheet
C11 C12 C3 C4 C6 C7 C8 ,7,"0.1u","Capacitors_SMD:C_0603",""
C13 C2 ,2,"10u","Capacitors_SMD:C_0603",""
C14 C15 C16 C17 ,4,"2200p","Capacitors_SMD:C_1206",""
C5 C9 ,2,"560p","Capacitors_SMD:C_0603",""
D1 ,1,"D","Diodes_SMD:D_SOD-123",""
D2 ,1,"LED","LEDs:LED_0603",""
D3 D4 D5 D6 ,4,"D","custom_pcb_footprints:DO-214AC",""
ECM1 ,1,"ECM_C9767","custom_pcb_footprints:CONDENCER_MICROPHONE_C9767",""
J1 ,1,"Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
JT1 JT2 ,2,"TERMINAL","custom_pcb_footprints:SolderWirePad_single_SMD_1x3mm",""
Q1 ,1,"2sc33s5-y","TO_SOT_Packages_SMD:SOT-23",""
Q3 ,1,"2sa1313","TO_SOT_Packages_SMD:SOT-23",""
Q4 ,1,"SSM3K329R","TO_SOT_Packages_SMD:SOT-23",""
Q2 Q5 ,2,"2sc3325-y","TO_SOT_Packages_SMD:SOT-23",""
Q6 ,1,"Q_NPN_ECB","TO_SOT_Packages_THT:TO-92_Inline_Wide",""
R10 R12 R15 R19 R9 ,5,"1M","custom_pcb_footprints:R_0603_wide",""
R11 R13 ,2,"100k","custom_pcb_footprints:R_0603_wide",""
R18 ,1,"200","custom_pcb_footprints:R_0603_wide",""
R14 R17 R2 R4 R5 R8 ,6,"10k","custom_pcb_footprints:R_0603_wide",""
R1 R16 R3 R6 R7 ,5,"1k","custom_pcb_footprints:R_0603_wide",""
RV1 ,1,"1k","custom_pcb_footprints:Potentiometer_Trimmer-TSR-C3305",""
T1 ,1,"digit_junk_trans","custom_pcb_footprints:digit_junk_transformer",""
TP1 ,1,"TEST","Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm",""
U1 ,1,"LMV358","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
U2 ,1,"NE555","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
